fid;TIPO;ID_DATO;FECHA;NOMBRE;POINT_X;POINT_Y;MUNICIPIO;ELEV_TERR;DEUT_2H;OXIG_18;Month;CooX;CooY;Lon;Lat;PROF_MAX;P/GW;O18;2H
324;Pozo;8180;11/17/2010;LADRILLERA HELIOS S.A - USME- (TUNJUELO);996171;991567;BOGOTµ D.C.;2680.307371;-69.5;-9.68;11;598509.607;499659.6166;-74.112011;4.519938954;133;1.232045;-11.92619991;-83.40280151
325;Pozo;6698;1/01/1998;Apogeo 1;989455;1000280;BOGOTµ D.C.;2548.154129;-75.4;-10.64;1;591784.4017;508361.5015;-74.17253912;4.598726147;150;1.232654;-13.11544323;-94.60847473
326;Pozo;8076;10/31/2017;;989455;1000280;BOGOTµ D.C.;2548.154129;-75.4;-10.64;10;591784.4017;508361.5015;-74.17253912;4.598726147;150;1.232654;-13.11544323;-94.60847473
327;Pozo;8150;11/04/2010;CARBOQUIMICA No 2 - BOSA- (TUNJUELO);989946;1000513;BOGOTµ D.C.;2557.876444;-75.6;-10.63;11;592274.955;508595.066;-74.16811451;4.600833766;120;1.233814;-13.11544323;-94.60847473
328;Pozo;6722;1/01/1998;Sidemu¤a 1;980426;993341;SIBAT;2586;-69.8;-9.67;1;582767.089;501413.0749;-74.25389265;4.535960738;450;1.234628;-11.9388504;-84.26103973
329;Pozo;8122;10/31/2017;;980445;993315;SIBAT;2588;-69.8;-9.67;10;582786.116;501387.1074;-74.25372138;4.53572566;450;1.234628;-11.9388504;-84.26103973
330;Rio;6799;1/01/1999;;1003300;1002350;BOGOTµ D.C.;3019;-57.45;-8.955;1;605622.8424;510448.8261;-74.04776763;4.617451099;0.1;1.235606;-11.06485367;-78.68756104
331;Pozo;6697;1/01/1998;Apogeo 2;989273;1000460;BOGOTµ D.C.;2547.413451;-74.5;-10.51;1;591602.2237;508541.2129;-74.17417952;4.600353684;90;1.239521;-13.02736282;-94.82211304
332;Pozo;8061;10/31/2017;;989273;1000460;BOGOTµ D.C.;2547.413451;-74.5;-10.51;10;591602.2237;508541.2129;-74.17417952;4.600353684;90;1.239521;-13.02736282;-94.82211304
333;Pozo;8144;11/03/2010;HILAT No 2 - CIUDAD BOLIVAR- (TUNJUELO);991061;999817;BOGOTµ D.C.;2555.963392;-74.8;-10.61;11;593390.5238;507900.7102;-74.15806544;4.594540975;147;1.239924;-13.15559387;-94.86664581
334;Aljibe;8169;11/09/2010;SUDEIM - BOSA- (TUNJUELO);987611;1001562;BOGOTµ D.C.;2546.776558;-77.7;-9.33;11;589939.2988;509640.7337;-74.18915898;4.61031698;;1.240036;-11.56954002;-83.30422974
335;Aljibe;8167;11/08/2010;MARY OSORIO DE MORALES - CIUDAD BOLIVAR- (TUNJUELO);992291;996157;BOGOTµ D.C.;2570.414389;-75.8;-10.06;11;594624.8666;504243.3603;-74.1469776;4.561444361;3;1.240895;-12.48340034;-89.98865509
336;Pozo;6842;1/01/1999;;989755;999620;BOGOTµ D.C.;2559.664424;-69.9;-9.53;1;592085.1637;507702.0848;-74.16983476;4.592758057;68;1.249741;-11.91002941;-87.26712036
337;Pozo;8166;11/08/2010;CLARA FEY No 2 - BOSA- (TUNJUELO);988174;1002275;BOGOTµ D.C.;2546.036783;-73.4;-10.37;11;590501.2057;510354.2474;-74.18408612;4.616765484;155;1.256255;-13.02736282;-94.82211304
338;Pozo;8157;11/05/2010;BAVARIA No 2 - KENNEDY- (FUCHA);993496;1004454;BOGOTµ D.C.;2550.952057;-65.4;-9.36;11;595818.8094;512539.5159;-74.13612487;4.636475981;129;1.267144;-11.86047173;-87.58904266
339;Pozo;8153;11/05/2010;CONSULTECNICA - BOSA- (TUNJUELO);988578;1002747;BOGOTµ D.C.;2549.125818;-72.1;-10.24;11;590904.4724;510826.6291;-74.18044582;4.62103436;64;1.273546;-13.04111195;-94.81958008
340;Pozo;8159;11/05/2010;ACEGRASAS No 2 - TUNJUELITO- (TUNJUELO);992599;999835;BOGOTµ D.C.;2554.17625;-71.6;-10.15;11;594928.0516;507920.6881;-74.14420513;4.594705183;106;1.296118;-13.15559387;-94.86664581
341;Humedal;8193;12/11/2010;Humedal Salitre - Juan Amarillo;997719;1013720;BOGOTµ D.C.;2543.225024;-51.6;-5.17;12;600028.4512;521808.4435;-74.09806776;4.720271386;0.1;1.759055;-9.094315529;-62.12532806
