fid,ID_PUNTO,NOMBRE,TIPO,FECHA,ELEV_TERR,DEUT_2H,OXIG_18,Month,Lon,Lat,PROF_MAX,MUNICIPIO,iso_18 raster,d-excess,iso_2h raster,P/GW,P/GW 2H
322,Pozo 227-IV-D-103 (250m),Pozo 227-IV-D-103 (250m),Pozo profundo,2022/11/29,2560,-63.1,-9.42,11,-74.0809122,4.6398148,250,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.796382165605096,0.765532963549921
323,Pozo 227-IV-D-103 (250m),Pozo 227-IV-D-103 (250m),Pozo profundo,2023/01/31,2560,-63.2,-9.22,1,-74.0809122,4.6398148,250,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.81365726681128,0.76432167721519
324,Pozo 227-IV-D-103 (250m),Pozo 227-IV-D-103 (250m),Pozo profundo,2023/02/28,2560,-62.5,-9.17,2,-74.0809122,4.6398148,250,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.818093784078517,0.77288208
325,Pozo 227-IV-D-103 (250m),Pozo 227-IV-D-103 (250m),Pozo profundo,2023/02/28,2560,-62.6,-9.19,2,-74.0809122,4.6398148,250,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.816313384113167,0.771647444089457
326,Pozo 227-IV-D-103 (250m),Pozo 227-IV-D-103 (250m),Pozo profundo,2023/03/26,2560,-63.7,-9.26,3,-74.0809122,4.6398148,250,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.810142548596112,0.75832229199372
327,Genetica (30m),Genetica (30m),Pozo somero,2022/11/29,2560,-61.7,-9.24,11,-74.0822335,4.6427655,30,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.811896103896104,0.782903241491086
328,Genetica (30m),Genetica (30m),Pozo somero,2023/01/31,2560,-60.8,-8.99,1,-74.0822335,4.6427655,30,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.834473859844271,0.794492269736842
329,Genetica (30m),Genetica (30m),Pozo somero,2023/02/28,2560,-61.1,-9.08,2,-74.0822335,4.6427655,30,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.826202643171806,0.790591325695581
330,Genetica (30m),Genetica (30m),Pozo somero,2023/03/27,2560,-61.4,-8.97,3,-74.0822335,4.6427655,30,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.836334448160535,0.786728501628664
331,Hidraulica3 (7m),Hidraulica3 (7m),Pozo somero,2022/11/29,2560,-77.7,-10.87,11,-74.0814461,4.6388263,7,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.690149034038638,0.621687644787645
332,Hidraulica3 (7m),Hidraulica3 (7m),Pozo somero,2023/01/31,2560,-70.2,-9.84,1,-74.0814461,4.6388263,7,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.762390243902439,0.688107264957265
333,Hidraulica3 (7m),Hidraulica3 (7m),Pozo somero,2023/02/28,2560,-67.1,-9.61,2,-74.0814461,4.6388263,7,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.780636836628512,0.719897615499255
334,Hidraulica3 (7m),Hidraulica3 (7m),Pozo somero,2023/03/28,2560,-68.4,-9.59,3,-74.0814461,4.6388263,7,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.782264859228363,0.706215350877193
